"Tabla de indicadores","","Fecha de descarga: 18-08-2017 (18:00:59)","","","","","","","","","","","","",""
"San Miguel Allende, Guanajuato","Tomas con servicio continuo (%)","","100","100","100","100","100","","","","72.37","75.46","73.83","76.71","73.82"
"Valparaíso, Zacatecas","Tomas con servicio continuo (%)","91.26","90.39","90.39","90.39","100","89.05","88.13","95.57","94.94","77.35","83.89","82.26","82.73",""
"Coatzacoalcos, Veracruz","Tomas con servicio continuo (%)","","100","100","100","100","100","","","100","","","100","97.76","92.02"
"Nuevo Casas Grandes, Chihuahua","Tomas con servicio continuo (%)","","100","100","100","100","100","100","100","100","100","","","100","100"
"Chilpancingo, Guerrero","Tomas con servicio continuo (%)","","","","","","","","","","0.18","0.18","","1.33","1.47"
"Ciudad de México, Distrito Federal","Tomas con servicio continuo (%)","","","","83.02","82.95","83.07","80.33","79.53","83.39","83.4","81.73","81.04","82.06","85"
"Metepec, México","Tomas con servicio continuo (%)","","","","","","","","","96.05","100","100","98.24","100","100"
"Atlixco, Puebla","Tomas con servicio continuo (%)","","","","","","","","","","","","","63.23","100.12"
"Huamantla, Tlaxcala","Tomas con servicio continuo (%)","","22.39","24.25","24.5","","28.17","29.31","33.96","38.81","38.8","","40.15","79.65","78.75"
"Camargo, Chihuahua","Tomas con servicio continuo (%)","","","","","","","","","93.22","","","92.59","100","98.03"
"Balancán, Tabasco","Tomas con servicio continuo (%)","","","","","","","94.93","94.85","94.85","94.76","100","94.61","94.77","92.55"
"Tulum, Quintana Roo","Tomas con servicio continuo (%)","","","","","","","","","","9.08","7.54","7.29","7.16","7.08"
"Tamazunchale, San Luis Potosí","Tomas con servicio continuo (%)","","","","","","","","","","17.69","15.27","14.61","14.13",""
"Calvillo, Aguascalientes","Tomas con servicio continuo (%)","37.87","35.29","37.59","36.53","36.31","35.5","34.37","23.77","23.56","25.27","","","",""
"Acámbaro, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","39.76","40","40.06","40",""
"Apaseo el Alto, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","93.59","","",""
"Apaseo el Grande, Guanajuato","Tomas con servicio continuo (%)","","","","","","100","100","100","100","100","100","70.33","69.78","86.34"
"Cortázar, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","42.22","","","",""
"Jaral de Progreso, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Purísima del Rincón, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Romita, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","99.57","","100","100","100"
"Salvatierra, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"San Francisco del Rincón, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","99.95","100","94.36","100","100"
"San Felipe, Guanajuato","Tomas con servicio continuo (%)","","","","","","100","100","100","100","100","98.77","92.26","100","99.63"
"San José Iturbide, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Uriangato, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","100","","33.27"
"Villagrán, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Progreso, Yucatán","Tomas con servicio continuo (%)","","","","","","","100","100","100","100","100","100","100","100"
"Aguililla, Michoacán","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Papantla, Veracruz","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Tacámbaro, Michoacán","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Río Blanco, Veracruz","Tomas con servicio continuo (%)","","","","","","","","","22.75","22.77","20.4","29.83","28.35","25.93"
"Cosamaloapan, Veracruz","Tomas con servicio continuo (%)","","","","","","","","","","85.93","86.85","87.12","87.16","87.4"
"Charo, Michoacán","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Santiago Maravatío, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","98.76","100","100","100",""
"Jerécuaro, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","36.97","36.7","35.69","36.3","97.84"
"Comonfort, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Coroneo, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","100","100","74.76","100","100"
"Tarandacuao, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Doctor Mora, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","98.21","100","100","100"
"Cuerámaro, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"San Martín Texmelucan, Puebla","Tomas con servicio continuo (%)","","","","","","100","100","100","100","100","100","100","100","100"
"Ciudad Guzmán, Jalisco","Tomas con servicio continuo (%)","","","","","","","","","","","50","50","47.42","24.98"
"Pánuco, Veracruz","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Cancún, Quintana Roo","Tomas con servicio continuo (%)","","","3.16","6","7.36","8.06","10.21","7.93","8.78","8.7","18.12","20.73","26.61","30.23"
"Acayucan, Veracruz","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"La Piedad, Michoacán","Tomas con servicio continuo (%)","","","","","","","","","8.73","14.12","16.91","17.59","23.29","21.94"
"Zacatlán, Puebla","Tomas con servicio continuo (%)","","","","","","","","","8.47","9.07","11.28","39.55","40.7","46.12"
"Altamira, Tamaulipas","Tomas con servicio continuo (%)","","","100","100","100","100","100","100","100","100","99.81","","",""
"Cd. Hidalgo, Michoacán","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Coacalco, México","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Ecatepec, México","Tomas con servicio continuo (%)","67.24","67.24","67.45","67.44","67.41","65.64","66.76","100","100","100","","","",""
"Erongaricuaro, Michoacán","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Huatabampo, Sonora","Tomas con servicio continuo (%)","100","100","100","100","100","100","100","100","100","100","","","",""
"Huauchinango, Puebla","Tomas con servicio continuo (%)","96.72","95.84","88.93","88.14","86.69","86.85","86.2","84.78","83.87","82.11","81.67","80.67","80.03","79.44"
"Huejutla de Reyes, Hidalgo","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Huixquilucan, México","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Jesús María, Aguascalientes","Tomas con servicio continuo (%)","","","","","","","","57.55","58.63","59.93","55.84","58.68","53.63","52.83"
"Lagos de Moreno, Jalisco","Tomas con servicio continuo (%)","","","","","","","48.78","100","100","100","61.19","75.18","75.46","97.65"
"Los Cabos, Baja California Sur","Tomas con servicio continuo (%)","","","","","","","","","","71.89","74","","73.85","31"
"Meoqui, Chihuahua","Tomas con servicio continuo (%)","","","","","","","","100","100","","55.26","","",""
"Palenque, Chiapas","Tomas con servicio continuo (%)","","","","100","100","100","100","100","100","100","","","",""
"Puente de Ixtla, Morelos","Tomas con servicio continuo (%)","","","","","","","","","7.8","","","","",""
"Río Bravo, Tamaulipas","Tomas con servicio continuo (%)","69.33","57.58","26.83","25.28","26.25","30.12","33.92","38.26","40.82","48.44","100","100","100",""
"Saucillo, Chihuahua","Tomas con servicio continuo (%)","","","","","","","92.73","100","100","100","89.85","","","89.32"
"Taxco, Guerrero","Tomas con servicio continuo (%)","","","","","","","32.73","33.78","34.22","","54.56","","",""
"Tecámac, México","Tomas con servicio continuo (%)","","","","","","","","","","","","100","100",""
